   n   time
     0  10387443 0.000000
    10   4687809 0.000000
    20   1938451 0.000001
    30    980899 0.000001
    40    669124 0.000001
    50    454394 0.000002
    60    299568 0.000003
    70    230806 0.000004
    80    172981 0.000006
    90    130623 0.000008
   100    114442 0.000009
   200     30206 0.000033
   300     13492 0.000074
   400      7829 0.000128
   500      4835 0.000207
   600      3379 0.000296
   700      2566 0.000390
   800      2091 0.000478
   900      1600 0.000625
  1000      1274 0.000785
  1100      1031 0.000970
  1200       726 0.001377
  1300       718 0.001393
  1400       597 0.001677
  1500       556 0.001800
  1600       420 0.002383
  1700       425 0.002355
  1800       311 0.003219
  1900       322 0.003112
  2000       281 0.003566
